iter	Passed	Remaining
0	1	69
1	2	51
2	2	41
3	3	34
4	3	30
5	3	27
6	4	28
7	5	28
8	6	27
9	6	26
10	7	25
11	7	25
12	8	24
13	9	23
14	9	22
15	10	21
16	10	20
17	10	19
18	11	18
19	11	17
20	11	16
21	12	15
22	12	14
23	12	13
24	13	13
25	13	12
26	14	11
27	14	11
28	14	10
29	15	10
30	15	9
31	16	9
32	16	8
33	17	8
34	18	7
35	18	7
36	19	6
37	19	6
38	20	5
39	21	5
40	21	4
41	22	4
42	22	3
43	22	3
44	23	2
45	23	2
46	23	1
47	24	1
48	24	0
49	24	0
